Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Decision Tree (Entropy),0.7943689278072428,0.817008288341725,0.8878429486318679,0.8509540680694923,0.8439763075972274
Decision Tree (Gini),0.7944294630843773,0.8171647871258477,0.887692792249489,0.8509699582970303,0.8439316171411692
Naive Bayes (Gaussian),0.7660836177818744,0.8056826660322051,0.8515954420823638,0.8280030766089882,0.8077978931693047
Random Forest,0.7944052489735235,0.8180034728677977,0.8862132025304402,0.8507433213582352,0.8440773378366906
Logistic Regression,0.7911694366264255,0.8244169460756164,0.8692858171803317,0.8462570578664832,0.8382000939177082
