Model,CV Mean Accuracy,CV Std,Min,Max
Decision Tree (Entropy),0.7908949734724343,0.011307160942500526,0.7734937600185965,0.8053847339716711
Decision Tree (Gini),0.7910559166310887,0.01126261524911545,0.7737116871921779,0.8053871553827565
Naive Bayes (Gaussian),0.7635864551982159,0.02000477403201852,0.7395423206499718,0.7898715602846611
Random Forest,0.7910081340766583,0.011347348709765781,0.7734493674462002,0.8053815054235572
Logistic Regression,0.7894208187493245,0.010385959661848257,0.7756350962834538,0.8056188037099247
