Model,Train_Acc,Val_Acc,Test_Acc,Test_AUC,Test_F1
Tree-Entropy,0.6055070883315158,0.6039190491487312,0.5891929338413578,0.6236753879261525,0.1343065693430657
Tree-Gini,0.596169574700109,0.591712174751044,0.5819189470038102,0.6085253143051308,0.13352476669059585
Naive Bayes,0.9192339149400218,0.2900738837134597,0.05611361274679598,0.5,0.10626434896687438
