Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Decision Tree (Entropy),0.824034583355088,0.8405328920490799,0.9051651373312324,0.871652551424486,0.8886600438734852
Decision Tree (Gini),0.8242752440870882,0.8410414816737869,0.904811690919764,0.8717619294828136,0.888862605205931
Naive Bayes,0.7720624706312327,0.8413512527851483,0.8068477152655482,0.8237383340293698,0.8161256031684683
Random Forest,0.8216646869942046,0.8390625233238144,0.9030580529551704,0.8698848735704431,0.8870552019655226
Logistic Regression,0.8126957917819663,0.8395224019092676,0.8855315599221429,0.8619134225378542,0.8690114055963808
